S:NO,Comment
1726,Today I tried this😻....vera 11 taste😋
1727,Bolte kyu nhi ho
1728,Amazing recipe so good 😍 and looking teastyyyyyyyy 🤤...........🤤🤤🤤🤤🤤🤤🤤😍😍😍😍😍😍😍😍
1729,🤤Wow 🤤 so teastyyyy 🤤
1730,I can&#39;t find curd here can i use yougurt instead? Thanks
1731,"It came well, Great job !!"
1732,I added curd  and lemon in marination<br>...and after frying onion i added giner garlic paste with tamato purie. It was delicious... thanks for the recipe.
1733,Tried this today.. Came out well..really  It&#39;s like restaurant style.. Thank you
1734,Made it today... totally loved it!
1735,Nice preparation. Seems very delicious. Thanks for sharing. Fully watched and subscribed. I&#39;m giving my fullest support. Greetings from Travel China.
1736,Such an easy &amp; tasty Chicken curr... In simple 3mins vid... Lovely😊
1737,👍👍👍👍
1738,I made this and it was so yummy
1739,❤️❤️
1740,Heavvvy tasty. My best taste cook out of all the recipies cooked.
1741,i tried this recipy it was awesome  😋😋😋
1742,Its nice bit sour got increased because of tomatoes
1743,Very useful video no music no commentary. Excellent
1744,I tried your recipe today and my family loved it. Thank you for this wonderful and short recipe video ❤️❤️
1745,Will try
1746,is it half chicken or full?
1747,Mam really superb
1748,Added a lil chicken masala...  it was like one of my best cooked recipe because of you.. everyone loved it.. thank you🥰😍
1749,Does anyone know why they tend to add the garam masala pretty late in the recipe? They did that for the channa masala as well
1750,Ameging thank you
1751,My family loved your recipe..especially my dad..than you for your hard work.😊
1752,Awesome! Came so well! Most important my husband loved it!
1753,I tried this recipe today... It was delicious 😋😋😋...
1754,V nice
1755,Thank you ☺️☺️💘
1756,I tried this recipe..it was very good to taste.. thank you so much for this recipe..
1757,This is chicken masala is so appetizing. Thanks for sharing!
1758,"<a href=""https://youtu.be/kSv6EU3HMZM"">https://youtu.be/kSv6EU3HMZM</a>"
1759,"Thankyou for the recipe , it was good and easy to cook"
1760,"<a href=""https://youtu.be/oUzDUtInwM0"">https://youtu.be/oUzDUtInwM0</a>"
1761,Khub valo khete hoachilo.
1762,Cooked this tonight and it was very tasty. Thanks for the recipe.
1763,I tried it. It’s very yummmmmmmy. Thank you.  .
1764,Trying....
1765,"ஒரு  சேவலின் கவிதை<br>🍗🍗🍗🍗🍗🍗<br>காலையில் கொக்கரக்கோ என்றேன்,மாலையில் குக்கருக்குள் வெந்தேன்."
1766,It was so awesome. Today I made it and it really came out delicious. My husband loved it. Thank you so much for this yummy recipe.
1767,mass!!
1768,Chicken um morum kazhikunne nallathalla parene sheryano
1769,Sir apki cooking style bahut achi lagi mujhe Allah appko kamyabi de achi sehat de all the best let&#39;s keep in touch 👍💕
1770,Ur recipe r delicious
1771,റെസിപ്പി വളരെ നന്നായിട്ടുണ്ട് 👌
1772,Cold curd or normal curd pls reply
1773,Salt podala
1774,very nice looks is amazing &amp; yummy 👍👍👌👌
1775,Today i tried umm yummy 😋🤤
1776,O <br>ow ĺĺ
1777,Looks yummy😋..... ❤❤❤love from❤NAVIRUNDHU...
1778,Or agar non stick pan na ho to kia tab b itna he oil delega. Plz reply
1779,Cashew na ho to kia kare
1780,Excellent yummy only in 3 minutes. Thanks a lot.
1781,https://youtu.be/AFI678KCKbE copy of this
1782,The chicken is looked delicious. Thank you for sharing this recipe. Subscribe from F recipe and short
1783,"<a href=""https://www.youtube.com/watch?v=AoPqKq4Wv_E&amp;t=0m48s"">0:48</a> add ginger garlic paste also..."
1784,I tried out this super recipe ... It came out very well.. thank u sir 🙏☺️
1785,"<a href=""https://youtube.com/channel/UChkU1qKTkiIpukMWskLO1qw"">https://youtube.com/channel/UChkU1qKTkiIpukMWskLO1qw</a>"
1786,I tried this ...It came out very well...Thanks
1787,This is the best chicken curry recipe I&#39;ve ever had. The only thing I did differently was add about half of the called for chilli powder. Still spicy but not agonizingly spicy
1788,Everyone loves ❤ this recipe! and it really tastes like a restaurant! Thanks for sharing
1789,No long chit chats no long unnecessary explanations nothing just the content to the point.. 👍👍👍👍
1790,Your recipe list does not include soaked cashews
1791,Why curd we use ?
1792,Your recipes are simple and taste 👌👌👌
1793,Can we skip curd?
1794,Adrak lasen<br>Haldi <br>Curd<br>(Marinate) <br>2 tomatoes<br>Corinder (grind) <br>Oil <br>Onion<br>Adrak lesan<br>Paste<br>Chilli<br>Coriander<br>Cumin<br>Fry<br>Add chicken<br>Mix for 5 min <br>Add water <br>Salt<br>Cook <br>Chicken masala<br>Boil<br>Add corinder<br>Ready
1795,First time I tried chicken using ur recipe turned out the best thanks alot
1796,"<a href=""https://youtu.be/TjRqqNCDyhU"">https://youtu.be/TjRqqNCDyhU</a>"
1797,This is 3rd time  .... Na seiya poren ... New married girl na .... Enaku cook panave theriyathu.... I hate non veg ... En hus kaga senjen....ipo naane sapda start panniten... Avlo taste ah vanthuchuuu
1798,Wow I like your all videos bro vera level without sound and great recipies
1799,Recipe Dekhe mukhe Pani Ase gse API soo tasty food and delicious 🤤🤤🤤💗💖
1800,I cooked for my family and we all enjoyed.. thanks
1801,Nice recipe 👌👌👌
1802,Super new freind ❤
1803,"Thanks a ton!! Amazing recipe, just made it .....came out awesome.."
1804,Thank you sister ... Today in my home ...All have appreciated me 😊😊😊😊😊🙈🙈🙈thank you so much sis
1805,Tasted strange
1806,I made it so 😋  yummy
1807,"<a href=""https://youtu.be/k9iPwHyiCrk"">https://youtu.be/k9iPwHyiCrk</a>"
1808,Super ❤️
1809,Aapka tamato past yellow h mera green colour q??
1810,👌❤️
1811,Just awesome ❤️
1812,I like very much chicken
1813,It&#39;s awesome😊👏👍
1814,"Skip dahi , It is not Healthy."
1815,Simple recipe. Gonna try.
1816,Any vegetarian here
1817,Supr mam...👌
1818,Kiya yaar video hc nhi hai
1819,My turned out too sweet!
1820,Nice ma
1821,U know what the best part was.. Nooooooooo bkwaas at all.. That made this vdo ELITE.. Thank you so much for that.. 🤘🤘🤘🤘
1822,I tried this bit dodnt get sich thick gravy...  Do i need to boil more
1823,I don&#39;t have cashews🥺
1824,Today i tried this recipe. I just love it❤️. I think you also tried this recipe once for tast❤️🔥.🤤😋
1825,And m cooking this recepie lets see it works or not🤗
1826,how many people does it serve?
1827,"<a href=""https://youtu.be/AvnDxBTlbMI"">https://youtu.be/AvnDxBTlbMI</a>"
1828,Even I tried it I My mom liked its so yummy I have never ever tried <br>U re the best for food item
1829,Thinking to have paratha for dinner to night. But dunno what to eat with it.. Found this video and <br>Looks yum.. Would like to try
1830,https://youtu.be/6-8fwG1Co0A
1831,Really it&#39;s come superb👍💐💐💐
1832,"<a href=""https://youtu.be/ipC-NVZR88Y"">https://youtu.be/ipC-NVZR88Y</a>"
1833,"Delicious..👌👌👌<br>I also like this chicken dish <br><a href=""https://youtu.be/vqgSUvQ59q0"">https://youtu.be/vqgSUvQ59q0</a>"
1834,ഞാൻ പരീക്ഷിച്ചു നല്ലതായിരുന്നു <br>Thank you
1835,Yummy 🤤🤤
1836,I just made this today. Instead of kaju i put 3 badam while grinding.Lets see how its become.Aroma is coming nice.😁🤘👍.
1837,Mene jab se apki recipe  tray ki  super test aata hai mere Ghar me ab yahi recipe se chikan bnati hu me thank you 😊
1838,I tried this recipe it&#39;s was awesome superb fantastic speech less thank you so much
1839,Can&#39;t trust someone who puts salt in their chicken marination.
1840,Damn I&#39;m watching several times to learn  wow ❤️❤️❤️
1841,"Today i tried this recipe ,,,,its out come well😍🤩thank u didi♥️"
1842,Fantastic
1843,Fabulous mam
1844,Simple way to make tasty chicken curry
1845,Wow zabrdast
1846,🤤🤤ondaaki tharuvoo
1847,If I have doremon gadget i eat the curry in the phone
1848,If i watching my. Expression is 🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤🤤
1849,I love this dish
1850,I&#39;m a new subscriber here tried this recipe and it came out very well and my whole family loved it so much and it&#39;s very easy to make
1851,Wow
1852,Malayali food please
1853,Wow this is so tastey
1854,👌👌
1855,Today i tried it your receipe chicken masala is very tasty thank you
1856,Nice agar 1kg banate hai toh tomato and onion kitne lene chaiye pls tell me.
1857,Looks tasty dear🥰
1858,Can we make it without using coriander?
1859,Eanga intha munthiri paruppu potta antha smal varumla athu nalla irukuma
1860,You need to speak
1861,"<a href=""https://youtu.be/kYXOCr2sjkk"">https://youtu.be/kYXOCr2sjkk</a>"
1862,It looks very tasty😋😋😋
1863,"I just made this. Best recipe I ever tried. I had something similar to this in a restaurant and always tried to replicate it, succeeded today. Thank you ♥️"
1864,"Thanks to you, me and my bro was able to make chicken for the first time on our own and it was super delicious😋😋😋😋"
1865,We don&#39;t need to add chicken powder in this?
1866,My mouth is watering 🤤🤤🤤😋😋😋
1867,"<a href=""https://youtu.be/6L0jizSFvZk"">https://youtu.be/6L0jizSFvZk</a>"
1868,I tried this... Simply superb... Taste was awesome.. Everybody at home loved it..🤩🤩
1869,Amazing recipe. Loved it. Nicely explained.
1870,Thank you for the amazing recipe.❤🤗
1871,Garam masala means pattai elakai powder aa illa kadaila vikura garam masalava pls tell me
1872,"I was making chicken for the very first time, and followed this recipe and it turned out to be yummylicious."
1873,Nice
1874,"I just prepared this , but I haven&#39;t added garam mashala powder as I prefer coriander flavour , I also added potato and I kept the gravy a little bit flowing ,  it tastes excellent .😋😋😋<br>Thank You so much , thank you for sharing the recipe . Anyone who wants to make any chicken recipe first time just like me , must follow the recipe ."
1875,Super😘
1876,Wow👌👌👌👌👌
1877,My ever fav recipe.... Thank you so much❤
1878,"I’ve been making this dish for a while now, (it’s fantastic by the way, 10/10), and I’ve always wondered how you get your paste so smooth/green. Mine comes out pretty course from the cashews and a reddish/whitish color."
1879,Tried its super. Thanks
1880,Yummy
1881,Awesome dish. Great keep it up
1882,"Could you please do a beef and pork recipe also.. All ur dishes I ve tried out thus far have come out beyond my expectations taste wise.. The ingredients u use are so very simple, but the outcome is jus like heaven on the taste buds"
1883,Wow its taste like this 🤩 my dad make this its to tasty 😊🥰
1884,👌👌
1885,Good video 😌😄😂😂😅😀😁😁😤😌
1886,Can i leave cashews
1887,Wow❤️❤️❤️❤️
1888,"Prepared today,ohh nice taste"
1889,"Made this for dinner today, turned out too well 😍 we all loved it🥰 doesn&#39;t take much time too"
1890,Wow! Nice recipe
1891,Mai try kr rha tha banane ka kitchen me aag lag gyi😅thii pr bana bohot accha
1892,I tried .It is so good
1893,IT was even more lovely with rice ..
1894,Wow
1895,It was super delicious!! Kids new favorite.
1896,Wow amazing.. I have tried it at home
1897,I tried recipe super
1898,😍🍗🤤
1899,Nice🍗
1900,"Tried it, loved it 🤗"
1901,Super nice yummy yummy chicken masala i like this chicken masala i will prepare this in my home and i will eat nicely thank you friend for sharing this yummy spicy chicken food 🌶🌶🌶🌶
1902,Today i tried this one... yummy.... thanks for sharing this recipe
1903,Just now tried😍😍😍😍 ma family saidd💐💐💐💐💐💐💐💐 wowowwo
1904,I tried too. Turned out amazing👍😍
1905,Awesome recipe.. I made this recipe today and the output is tasty.. Keep making such a delicious recipes... Thank you. 😊👍👏❤️
1906,I tried…. It’s really awesome and very quick to do
1907,😁😁😁😁😁😁😅😅😅😅😅😅😅😅🤣🤣🤣🤣🤣😂😂😂😂
1908,Where is Restaurant pls tell me 😍😍
1909,"I have tried this <a href=""http://recipe.it/"">recipe.It</a> tastes very delicious."
1910,I don’t have curd can I use Greek yogurt?
1911,Awesome taste...thnk u so much for sharing dis lovely recipe
1912,"I like these kind of cooking where is no too much verbal circus.. to the point, silent and quick, easy to follow.."
1913,"Thank you soooooo much . I followed the same steps and I am shocked , I cooked better than restaurants. I cooked chicken for the first time in my Life. The look was also delicious.. ❤️❤️"
1914,kya mujhe views milega agar main ne ye recipe banaya to mere youtube channel par 😄
1915,Wow yummy 😋😋😋😋😋😋😋👌
1916,Garam Masada kon use Kar rahi ho aap
1917,😋👌
1918,Looking soooo tempting.............
1919,It&#39;s very nice
1920,Tempting 🤤🤤🤤
1921,Super
1922,I prepared this today and it was truly delicious 👌👌👌
1923,It is really delicious😋😋
1924,I tried it is tasty
1925,Super
1926,Keep supporting this Chanel
1927,Mam sirf 140 subs bache hy thoda help karein sab ... please 🙏
1928,Lots of luv from kerala..
1929,Ok
1930,😭😭😭😭😭
1931,I&#39;m not mix curd
1932,It is the Sundays spacile
1933,Simple but nice 👍
1934,No audio ?
1935,Wow❤️❤️🥰❤️
1936,Tooo tastyyyyy 😋
1937,Came out awesome <br>Thx 🥰👏🏽👏🏽❣️
1938,Awesome taste
1939,Thank you so much Mei aaj ye try karneko ja rah hu..❣️❣️
1940,Superb😋😋
1941,Super super super
1942,"<a href=""https://youtu.be/e6p2ISV_AvI"">https://youtu.be/e6p2ISV_AvI</a>"
1943,Plz tell editing app
1944,It&#39;s really very tasty I tried it today 😄😄
1945,Muje bhi sport kijiye
1946,I have made this recipe 2 times. Everybody say that it is very nice. Thanks for this recipe ❤️❤️❤️❤️
1947,"Hi...I am making for the second time today.  And people pls try it it was jus amazing and goes awesome with rice , and Kerala porata ..."
1948,So yummy 😋
1949,When the ingredients come through the post I&#39;m gonna try this recipe as my very first curry adventure
1950,ചിക്കൻമസാലകറി സൂപ്പർ ആയിട്ടുണ്ട് കാണാൻ തന്നെ നല്ല രസം
1951,No sound or description
1952,Thanks for this recipe 🤗
1953,Yummy
1954,I tried this recipe it was super can l add green chilli for more spiceness
1955,Alternative for cashews?
1956,Kon kon hostel se dekh raha he 😂😂
1957,"You r really amazing 👏..like u ur all videos are awesome👌🥰🥰👌👌🙏🙏🙏..<br>I always follow ur channel...by <a href=""http://www.youtube.com/results?search_query=%23dream_deco_99plus"">#dream_deco_99plus</a>"
1958,Hi can l add more chilly powder to make it spicy
1959,❤❤
1960,you are an amazing cook👏👏
1961,Chicken vari variya varuthu how to make chicken tender and soft?
1962,Dahi ko skip kr sakte hai kya is recipe me...
1963,You forget to mention cashew nuts in the ingredients bro ... 😂 .. 😀. But nice receipy ... 👍👍
1964,It is really  so delicious recipe <br>I tried  it❤
1965,Curd and tomato too. Won&#39;t it be too sour?
1966,"Easy to follow this recipe, good"
1967,Me- who ate all the yogurt last night
1968,Extremely extraordinary taste as like as in hôtel superb taste thanks
1969,"Can this be eaten along with chappati, is coconut not required"
1970,Amazing cook
1971,😯
1972,Can we make this in mustard oil ?? Please tell me??
1973,Niga Dgl ah
1974,I tried it. Its yummmyyyyyyy
1975,Yum yum 😋
1976,Nice recipe
1977,🎂🎈🖤🖤🤎
1978,Oke
1979,Okw
1980,Mu mein pani aaa raha hai 👇👇👇👇👇
1981,😋😋😋😋😋😋😋😋😥😥
1982,All the best very tastey
1983,Main jaa rahi hu ye banane
1984,I prepared this and followed the instructions exactly ... believe me so delicious it was ..my family and friends  too happy ..I too shared this recipe with them. .thankyou so much 😍😍
1985,Super taste 👍👍
1986,Super all foods very nice
1987,Thanku so much mam I made this recipe with kerala parota on my mom&#39;s birthday and she loved it ❤️
1988,Any Morning easy breakfast recipes......
1989,Super
1990,It&#39;s really superb
1991,Awesome recipe❤️
1992,Any substitute for cashews?
1993,"Im doing this more than 5 times. My family love it. Something different, tasty. Thank you so so much. 🇲🇾"
1994,I done this recipe for two tyms it was 🤤👌 delicious 😋
1995,looks amazing and i just love such amazing and fruit full recipes so so nice and yum at the same time.. but have you ever tried using something for your digestion.. try planet Ayurveda digesto plan
1996,"I tried.. easy to cook n testy, thanks"
1997,The best recipe I&#39;ve watched today on internet ❤️
1998,Job..
1999,Simple presentation :❤️❤️❤️
2000,I tried it and I was simply amazing . Trust me 💯❤️❤️❤️
2001,Very cool 😊
2002,Love it
2003,Can I use bread crumbs?
2004,nice
2005,Very tasty
2006,Why u put chicken in water
2007,It&#39;s awesome I tried today this is the best and easiest method Don&#39;t think of it as a paid review it&#39;s the true main ingredient here is magie masala and please marinate the whole night by putting it in the fridge and use cool water for dip
2008,YOU SHOULD COME TO MALAYSIA 🇲🇾 TO EXPLORE ABSOLUTELY DIFFERENT TASTE OF KFC. MALAYSIA KFC 100% GREAT TASTE FROM OTHER PART OF THE WORLD INCLUDE USA.❗
2009,Dene Hai 650 Rupees.
2010,Best ever
2011,চিকেন ফ্রাই কতো টাকা
2012,Can I change the masala for anything else? I don&#39;t think I have masala where I live (or it will be very hard to get)
2013,Totally wrong
2014,I try your recipe of kfc chicken but it&#39;s so good to taste your real name is sushi bar kfc sushi chicken!!!!!
2015,Letters are too small
2016,Yummy
2017,What i realised from this is that - if you are going to cook it in large quantity..like feeding a whole party..then DIY like this video may be better..but if youre cooking for yourself and maybe a friend...then the ingredients and stuffs will cost more than actually ordering from it kfc itself
2018,Give me some pics
2019,What about the eggs?
2020,Did you use the seasoning pack from ramen noodles?
2021,The song is so sick
2022,What can I use in place of the instant noodle masala? Thanx for your help
2023,"Tried it, ruined it 😂"
2024,its video like thiese the reason why people cant cook
2025,As a previous KFC worker i can confirm MOST of it
2026,❤❤❤❤❤ nice
2027,Yeah im sure that Colonol Sanders used &quot;instant noodles spice&quot; 🙄
2028,love ❤
2029,What type of water you used warmed ya cold?
2030,Very hard I cooked it yesterday so bad
2031,"This chicken is so good, i just made it! This will be a new family favorite❤ thank you for sharing this delicious recipe. I hope more people get taste it!"
2032,Tasty 😋 yummy
2033,Am going to try it so good ❤❤
2034,Very delicious and detailed 😮😮❤❤ yummy 😋🤤
2035,Hi
2036,That&#39;s.     ❤❤❤❤❤
2037,Nice
2038,చాలా బాగా చేసారు.
2039,why did you steal my recipe? I&#39;m gonna file a complain against you.
2040,"Hi, I have a question since I&#39;m no cooking expert: why are we dipping it in water? Thanks!:)"
2041,Njan try cheythu adipoli  aan🤩❤️
2042,From where  I got instant noodle masal without noodles ?
2043,"Nice recipe, but what do u mean with 2hours of marinate, like marinate it for a while then let it rest?"
2044,that was so easy man thanku
2045,I will try that
2046,Thanks dear am always cooking this recipe mu husbae loves it
2047,Excellent ❤❤❤
2048,How much
2049,Looking delicious
2050,"Lol.... Not even fkn close. Looks good, tho."
2051,Like I tried it right now <br>It was actually same as kfc ❤enjoyed it 👍
2052,"I don&#39;t know where I went wrong.<br><br>This was my worst chicken ever. <br>I followed recipe but, wooooi"
2053,cooked today with my son. perfect result . did everything as in the video
2054,I want to cook in oven please tell me the temperature and time please please please thank you
2055,for me I have to boil the chicken to make sure it has no blood
2056,I&#39;m so surprised that you made KFC at home🎉p❤
2057,I tried this turned out well done
2058,I tried it. It was delicious and spot on. Thank you .
2059,"Will chicken drumsticks without skin also come out crispy from out &amp; soft from in, if prepared in this manner, please reply"
2060,This is just the best recipe out there. Thousand times better than bland kfc. Trying for the second time now.
2061,😅
2062,Can we use wheat flour instead of these?
2063,WHATS DA MUSIC
2064,So nice reciepe.
2065,🫠
2066,Can&#39;t get it indian ho to bsd*e hindi m krlo sab itni kitni angrezi khodni h tumko
2067,I think the chicken didn&#39;t remain juicy by this method how to make it soft?
2068,What is cornflour its ararot or maida??
2069,Thank you ❤🎉
2070,Doing right now 😅 I&#39;ll let you know
2071,"Please am In Cameroon, another name for soya sauce"
2072,Super
2073,.<br><br>.. whennubreached
2074,I tried this without skin.. it still tasted the same.. evryone loved it
2075,Thanks 👌 i will make
2076,Amazing recipe 😍🤩
2077,Do we Actually add the Instant Noodle masala?
2078,I followed the recipe but colour is not cmg
2079,Cooking time?
2080,umm anek moza
2081,I try it today and it is delicious.... 🤤🤤
2082,❤ yummy recipe
2083,Best fried chicken I have ever tried!
2084,Fully watchad Nice recipe
2085,Wow looks like kfc. Yummmm.<br>Let us try and post in my vlog too
2086,After many attempts to get the KFC thing right. I have to say this method/recipe was bang on.<br>Thank you.
2087,It&#39;s very very perfect I tried it out🤤🤤
2088,Can we use air fryer to do the same
2089,"TRY TASTING IT , MAYBE RAW INSIDE."
2090,"Really nice, must try dish❤🎉"
2091,"For anyone looking to try this, don&#39;t use water as suggested. It&#39;ll break down and weaken most of the first coating, or make it come out like a shell upon frying it. Other recipes suggest using a mix of egg, milk, and a tiny bit of flour, which definitely holds better than double dipping them in water."
2092,instead of instead noodle masala u can use msg
2093,Trust me too much unhealthy dish
2094,Sounds name? <br>Please reply 🙏
2095,Instant noodle masala ??? What is it <br>Which shop do you get ??
2096,Background music name
2097,I tried today. It was so yum😋Thank you
2098,Try just now actually inner part of chicken is soft and delicious but I dint get the perfect outer layer as I feel I added more flour and pressed on chicken but ok felt nice
2099,Its just wow.... tried today and everyone loved it....thanks for sharing amazing recipe
2100,"America &amp; Europe is dependent on China &amp; India, even can&#39;t produce own food, garments etc 😯"
2101,"America &amp; Europe is dependent on China &amp; India, even can&#39;t produce own food, garments etc 😯"
2102,What the name of pan used in the video<br>Is it steel or aluminium?
2103,1. Taste was awesome.<br>2. color was bit dark and did not match the one which is shown in video.<br>3. MAINLY  texture did not come as shown in video even after following the same procedure as shown. Let me know what would be the mistake from my end.
2104,How much time in fryd
2105,Tried this and threw chicken away ...very bad
2106,hol up<br>wait a minute
2107,Itne sare coating k wajah se andar nehi pakti kachha reh jati hai
2108,This recipe is really good<br>Today I tried it<br>Come out really good taste<br>Thanks for the best recipe<br>All the best and waiting for the next good video
2109,Love it❤️😍
2110,I was watching food theory I then thought &#39; KFC secret recipe search it up easy&#39;😂
2111,It looks dry inside but i&#39;m sure it wasn&#39;t. That was probably the white meat. Can&#39;t go wrong with dark meat.<br>I only prefer the dark meat. <br><br>Can I use regular masala... and how much please?<br>What to use instead of corn flour?<br>Does it matter if water is hot or cold?<br>It was actually cooked in 15 mins???<br>Thanks!
2112,Should we give little cut to our chicken before marination process?
2113,Love it . I made it so good
2114,Normal water or cold warm
2115,It&#39;s very delicious❤
2116,❤❤
2117,Asla pişmez içi
2118,All purpose flour means
2119,I tried this today and it was so yummy..just add oats along with maidan and cornflour n you can enjoy the crispness of KFC 🍗
2120,I tried it but it did not turned out like this
2121,Instead of water can I use egg?
2122,I tried this recipe today and it turned out to be the best. My husband said he&#39;ll stop ordering from KFC from now onwards as he got his stuff at home itself 😂😂😂😂 Thank you for this recipe
2123,Would have been useful for me had it had names of the ingredients 😢
2124,I also tried it&#39;s good
2125,By dropping the piece into water the spices will not come out.??
2126,I tried it today following the same recipe... But It was ok ..not that good nor bad ..
2127,Family main sabko pasand i 🥰🥰🥰
2128,Bohot he zyada tasty banie thi really😍great tast😻
2129,Looks so delicious and tasty 😋. Keep sharing stay connected with each other. Best wishes.
2130,I tried it out but the crispy shell ALWAYS fall of does someone have any tips?
2131,All purpose flavour means??
2132,Thanks
2133,Can I marinate it for 1 hour instead of 2??
2134,what is this all purpose flour? which flour it is? pls anyone tell me?
2135,Background music is awesome and recipe also👍
2136,Awesome
2137,😂😂😂😂 This is not KFC but a garbage
2138,I want to order how
2139,what should the settings be if i want to make this in an air fryer ?
2140,Can I marinade overnight
2141,Very nice one. This is very tasty. I have tried and it was amzing. But my chicken&#39;s colour was a bit darkbecause of another instant noodle masala. Thankyou for your recipe😁
2142,"Thank you so much I tried this recipe at home it was the best KFC Chicken I have ever had till now. Now I am not going to KFC, I am happy to prepare KFC chicken in home. All our family members loved it. Thank you once again. 😍😍😍"
2143,Wow
2144,Awesome👍👍👏👏
2145,Scam
2146,Pure wheat flour use kiya h ya maida ???
2147,I love this 💞
2148,💐👏💐
2149,For how much time do we have to dip it in water?
2150,Possible to Airfry instead?
2151,I tried last week. Delicious as same as kfc.
2152,I tryed it very crispy yumm
2153,Yumm
2154,"This is it! This is the real deal😋 my kids are on the moon and so am I hahaha. Thanks a big bunch Tiffin Box for making this short, precise and absolutely kick-ass😋😋 <br>P.s. for those who want more zing like me...add extra garlic powder, onion powder (if you have it ready) and magic masala."
2155,"Cooked it for 5 min and it turned black and bitter, don’t know where i made mistake"
2156,Totally waste of time
2157,I just tried this recipe<br>It&#39;s simply awesome<br>Blindly follow the recipe<br>Good appreciation from family members
2158,This is really tasty
2159,This is really tasty
2160,This video was uploaded on 29 feb still it shows 3 years ago
2161,Do you know fullform of kfc and do you know who invent it
2162,"I didn&#39;t put the instant noodles masala, and didn&#39;t come out well, had to throw it in the bin , you guys try it with the masala"
2163,Thank you for the recipe.<br>Can I substitute ginger paste with the fresh ginger?
2164,"it actually worked . tasted like chicken in powder and oil.. kids.. try this at home, but only if u are not alone."
2165,Cook for us
2166,A bangladeshi fried chicken video gets this many views! Wow!!
2167,Actually forgot oats
2168,Enthaan ee all purpose flour??
2169,It&#39;s never cme like this belive me if u try pakka ur time will be waste and money also ... destroy of chiken ...in the last of video they shown edit video..i think... don&#39;t try
2170,How much of chicken being added in this recipe?<br>500g or 1kg ?
2171,Zabardast...  <br>Lajwab....<br>Amazing. ....<br>Give it a try .....it turns awsum+ delicious+flavourfull+ ........
2172,I tried this and its great.. gonna make this the 2nd time
2173,I have one doubt..if we dip the chicken coated with flour in water will the masala and flour go away?
2174,I&#39;m your friend and subscriber 💝 💓 💖 💕 ❤️ 💗 💝 💓 💖 💕 ❤️ 💗 💝 💓 💖 💕 ❤️ 💗 💝 💓 💖 💕 ❤️ 💗 💝 💓 💖 tasty food 😋 👌 😍
2175,"Didn&#39;t look like the video. Still good, with some modifications"
2176,This look is very nice
2177,Super🥰🥰🥰🥰
2178,"Followed as explained, the chicken was crispy and nice, but after regularly churning the chicken in oil I couldn&#39;t retain the thickness of flour around it as KFC serves, maybe with more tries I may."
2179,"Not the same recipe. Missing powered eggs and milk. 10 seasonings made by Mccormick spice company. I know, I was a cook at KFC."
2180,RJ this is so amazing and my future wife eat like crazy people a single piece not leave for me I love you J
2181,Why dip the drumsticks 🍗 in the water <br>What’s the purpose of that ?
2182,Can someone suggest me <br>Should i add maggie powder
2183,It worked to me as in the video
2184,Nice
2185,"<a href=""https://www.youtube.com/watch?v=3CVDrAkhDmI&amp;t=1m53s"">1:53</a>"
2186,For how much time marinated chicken should be kept ??
2187,Can we use another masala instead of instant Noodles masala
2188,Thank you 👍
2189,So nice and so easy. 💖👌
2190,Hi
2191,I think its good to use oven  first to make sure its cooked well
2192,exactly how we coat chicken at KFC.
2193,❤😋
2194,"Saw it, tried it, loved it! Thanks!! Next time I’m letting it marinade overnight."
2195,Delicious recipe I tried it today<br>Thank you 💕<br>Love from PAKISTAN.
2196,Yummy 😋 😋 😋 😋
2197,"If I don’t have ginger, garlic paste can i put them in powder ?"
2198,All purpose flour means ???
2199,It&#39;s great recipe and If u want 100% KFC just replace water dip with egg+water/milk dip.
2200,I tried this many times 😚 it&#39;s amazing 🥰🥰
2201,I made for dinner today and it was AMAZING 😍😍 Definitely will be making it again very soon 💖 thank you for sharing!!!
2202,Very beautiful sharing keep it up sty bless 🌹💓
2203,Did u first refrigerate the chicken before coating it?
2204,Hmary chiken ka color nai esa ata
2205,I tried this recipe. It really turned into real KFC. I tried with sauce and it was really delicious.
2206,Marinate 2 hour nah rkhe to koi prblm hogi?
2207,i have tried it today trust me it was really really awesome feels like same kfc...
2208,&quot; Fried chicken 🍗 &quot; delicious taste and very tasty 😋💞 Thank for sharing 🙏
2209,will it chicken blood smells free??
2210,Fantastic 😀✌️
2211,I tried this recipe guys and trust  me its better than kfc wala chiken must try👍😋
2212,yummy😋😋😋
2213,"Ami kothao ei jinis ta beje nibo, to Ami Jodi halka EKTA vaja Diye uthiye rakhi Tahole ki scnd tym vajle perfectly cook Hobe?"
2214,"Yummy.This dish is very,very costly i restaurants."
2215,Yummy
2216,Hmmmmm... Onek moja.. 😋😋
2217,Wow looks very delicious 😋 thanks for sharing 🤩 stay connected 🥰
2218,I&#39;m a bit late to the video 😂but thx my family loved it so much x
2219,Why everything unhealthy is tasty AF
2220,Other Option for noodles masal
2221,asian kfc
2222,It really worked.🤩
2223,Can I use aata or wheat flour instead of maida .. is it possible??
2224,It was quite good but make sure u fry it properly so that along with the coating the inner layers also gets cooked up...
2225,"Thanks for the recipe ,👌😘😋"
2226,Jhakas my mother made it today it was awesome 😊
